"ALIGN_SPLIT","OPTIMIZE_SPLIT","OPTIMIZE_REPS","CUDA_THREADS","N_RESTART","CLIPPING","SIM_THRESH","BUFFER_SIZE","TIME","AVG_RMSD","AVG_RMSD^3_TIME"
20,16,1,32,1024,50,1,10485760,236.955,2.24,2663.23771392
20,16,2,96,256,50,1,1048576,109.517,2.26,1264.174005992
20,16,3,64,1024,30,4,1048576,594.077,2.53,9620.647497329
20,16,4,32,256,50,3,20971520,159.292,2.33,2014.938189404
20,16,4,32,256,256,1,10485760,167.634,2.07,1486.870498062
20,16,4,64,256,10,4,5242880,187.341,2.67,3565.879130583
20,16,4,64,256,10,4,20971520,185.908,2.67,3538.603175004
20,16,4,64,1024,50,2,52428800,735.72,2.24,8269.06902528
20,16,5,192,1024,10,4,1048576,717.48,2.85,16609.034205
20,20,1,128,1024,256,3,5242880,266.253,2.15,2646.122158875
20,20,1,160,256,10,3,10485760,95.79,2.63,1742.55870813
20,20,1,160,256,30,2,5242880,93.795,2.34,1201.78633068
20,20,1,160,256,256,4,1048576,91.894,2.11,863.245895314
20,20,2,128,256,30,4,52428800,121.146,2.43,1738.312687422
20,20,4,64,256,50,1,1048576,212.37,2.25,2419.02703125
20,20,4,160,256,256,1,2097152,182.016,2.06,1591.150381056
20,20,4,192,256,256,1,52428800,191.31,2.06,1672.39681896
20,20,4,256,256,50,3,52428800,184.962,2.29,2221.206623418
20,20,5,32,1024,10,3,1048576,749.52,2.51,11852.34788952
20,20,5,192,256,10,2,10485760,207.147,2.53,3354.595897719
20,20,5,192,1024,256,4,2097152,816.908,2.12,7783.603988224
20,20,5,224,256,50,3,5242880,230.605,2.3,2805.771035
20,24,1,128,1024,50,4,20971520,275.36,2.41,3854.35738256
20,24,1,256,1024,30,3,2097152,302.972,2.42,4293.867034336
20,24,2,96,256,256,4,52428800,138.836,2.09,1267.479521044
20,24,3,64,1024,30,1,5242880,740.951,2.34,9493.734031704
20,24,3,160,256,30,1,10485760,159.552,2.31,1966.700336832
20,24,3,192,256,30,2,10485760,167.959,2.32,2097.332250112
20,24,3,256,1024,50,2,10485760,609.939,2.29,7324.750741671
20,24,5,192,256,256,3,5242880,240.786,2.08,2166.812024832
20,32,2,96,1024,50,3,5242880,523.833,2.32,6541.190674944
20,32,2,224,256,10,1,1048576,156.038,2.76,3280.632789888
20,32,2,256,256,50,1,5242880,149.437,2.2,1591.205176
20,32,3,96,1024,10,4,1048576,703.386,2.69,13691.485159074
20,32,3,256,256,50,2,10485760,193.141,2.22,2113.164951768
20,32,5,32,1024,10,2,2097152,995.029,2.62,17895.325917112
20,32,5,192,256,256,2,2097152,287.328,2.06,2511.768507648
20,48,1,192,1024,30,2,2097152,408.639,2.35,5303.265862125
20,48,2,192,1024,50,3,20971520,679.856,2.27,7952.332060048
20,48,4,64,1024,30,4,5242880,1440.579,2.49,22240.017306171
20,48,4,224,256,30,2,20971520,332.944,2.29,3998.320833616
20,48,4,224,1024,30,2,52428800,1285.418,2.32,16051.230516224
20,48,5,32,1024,256,3,1048576,1315.075,2.06,11496.1436762
20,48,5,64,1024,50,4,52428800,1734.13,2.38,23378.27821336
20,48,5,128,256,50,2,2097152,336.372,2.19,3533.069510748
20,48,5,192,256,30,3,52428800,361.581,2.28,4285.585288512
20,48,5,224,256,30,4,52428800,393.654,2.33,4979.462107398
20,72,2,160,1024,50,3,20971520,834.435,2.3,10152.570645
20,72,5,96,1024,256,1,2097152,1919.397,2.02,15820.453187976
20,72,5,192,1024,50,1,20971520,1950.902,2.19,20491.219170018
20,72,5,256,1024,10,2,5242880,1918.899,2.55,31817.983906125
20,72,5,256,1024,30,1,2097152,1914.794,2.35,24849.95718275
24,8,1,256,256,50,2,52428800,85.565,2.34,1096.33613076
24,8,2,32,1024,50,4,1048576,296.618,2.47,4469.802787814
24,8,2,224,256,30,2,52428800,104.449,2.41,1462.027070929
24,8,3,128,1024,256,2,10485760,386.934,2.16,3899.403224064
24,8,4,32,256,50,4,5242880,121.498,2.35,1576.78585675
24,8,4,160,1024,50,4,52428800,449.684,2.47,6776.388475532
24,8,4,256,1024,30,3,10485760,482.059,2.46,7176.381481224
24,8,5,224,256,10,4,1048576,165.691,2.72,3334.307360768
24,8,5,224,1024,50,4,10485760,622.958,2.47,9387.493021634
24,12,1,32,256,256,4,10485760,91.998,2.1,851.993478
24,12,3,32,1024,10,3,5242880,423.821,2.6,7449.077896
24,12,3,256,1024,256,3,10485760,471.749,2.15,4688.418467875
24,12,4,256,1024,50,3,2097152,555.805,2.32,6940.43041024
24,12,5,96,1024,256,4,10485760,650.172,2.14,6371.909259168
24,12,5,256,256,10,1,1048576,174.184,2.81,3864.801733544
24,16,2,64,256,256,3,5242880,146.138,2.1,1353.384018
24,16,2,128,256,30,3,20971520,106.044,2.39,1447.704098436
24,16,2,192,1024,50,4,1048576,394.195,2.51,6233.504477945
24,16,3,128,1024,30,1,2097152,483.585,2.35,6275.905681875
24,16,3,160,1024,50,1,2097152,492.015,2.26,5679.41573964
24,16,3,224,256,30,4,5242880,153.89,2.42,2181.00417832
24,16,4,64,256,10,4,2097152,198.177,2.71,3944.219922447
24,20,1,32,1024,256,4,1048576,286.221,2.2,3047.681208
24,20,1,256,256,256,2,2097152,105.876,2.1,980.517636
24,20,2,64,1024,10,1,10485760,522.916,2.89,12621.921031204
24,20,2,96,256,30,3,52428800,125.351,2.35,1626.789609125
24,20,3,128,256,256,4,5242880,156.022,2.09,1424.376169238
24,20,4,128,256,50,4,5242880,177.809,2.34,2278.249647336
24,20,4,160,1024,256,1,52428800,673.628,2.04,5718.875380992
24,20,5,256,256,256,1,10485760,229.938,2.09,2099.179651602
24,20,5,256,1024,50,4,20971520,833.949,2.4,11528.510976
24,24,1,96,1024,10,1,1048576,313.012,2.77,6652.736076196
24,24,1,192,256,50,1,5242880,103.325,2.28,1224.6442704
24,24,2,32,1024,10,2,52428800,439.875,2.68,8467.079976
24,24,2,96,256,10,3,52428800,132.568,2.67,2523.320920584
24,24,2,224,1024,256,2,52428800,539.65,2.09,4926.64239485
24,24,3,64,1024,10,4,1048576,747.027,2.75,15535.827140625
24,24,3,128,256,10,4,2097152,154.13,2.71,3067.57402043
24,24,3,128,256,50,3,1048576,156.641,2.28,1856.564269632
24,24,3,160,1024,10,1,5242880,586.205,2.68,11283.76156256
24,24,4,128,256,10,4,20971520,186.484,2.69,3629.931386756
24,24,4,160,256,30,1,20971520,188.041,2.33,2378.593978817
24,24,4,160,1024,10,2,10485760,720.828,2.62,12963.895514784
24,24,5,160,256,256,2,1048576,233.623,2.07,2072.175968889
24,32,1,32,1024,50,4,52428800,333.484,2.41,4667.949293164
24,32,1,96,1024,30,4,52428800,351.452,2.5,5491.4375
24,32,1,96,1024,256,2,52428800,368.399,2.1,3411.743139
24,32,1,160,1024,50,1,1048576,334.859,2.3,4074.229453
24,32,1,256,256,30,1,1048576,109.98,2.41,1539.44735958
24,32,2,192,1024,256,1,10485760,566.814,2.04,4812.060410496
24,32,4,64,256,50,2,1048576,287.156,2.22,3141.787579488
24,32,4,224,1024,10,4,1048576,998.922,2.69,19444.125612498
24,32,4,256,1024,50,3,20971520,918.565,2.29,11031.036980785
24,32,5,96,256,10,3,2097152,272.882,2.65,5078.23168925
24,32,5,192,1024,10,4,10485760,1085.583,2.69,21130.991423547
24,48,2,96,1024,10,3,52428800,687.606,2.65,12796.08980775
24,48,2,192,1024,10,4,5242880,686.864,2.8,15078.038528
