confidence,hypo_step,max_arm_length,num_threads,exec_time_s,cost
44,3,1,31,60.45,1873950
34,3,1,31,55.54,1721740
24,3,1,31,63.04,1954240
14,3,1,31,51.16,1585960
64,2,1,31,71.41,2213710
54,2,1,31,67.68,2098080
44,2,1,31,74.63,2313530
34,2,1,31,73.85,2289350
24,2,1,31,67.63,2096530
14,2,1,31,64.59,2002290
64,1,1,31,107.23,3324130
54,1,1,31,102.54,3178740
44,1,1,31,103.19,3198890
34,1,1,31,102.04,3163240
24,1,1,31,109.67,3399770
14,1,1,31,108.81,3373110
64,3,16,30,76.41,2292300
54,3,16,30,73.29,2198700
44,3,16,30,68.86,2065800
34,3,16,30,66.95,2008500
24,3,16,30,75.39,2261700
14,3,16,30,73.98,2219400
64,2,16,30,88.62,2658600
54,2,16,30,96.25,2887500
44,2,16,30,84.53,2535900
34,2,16,30,90.09,2702700
24,2,16,30,85.04,2551200
14,2,16,30,83.54,2506200
64,1,16,30,131.07,3932100
54,1,16,30,132.07,3962100
44,1,16,30,139.06,4171800
34,1,16,30,134.16,4024800
24,1,16,30,133.17,3995100
14,1,16,30,135.56,4066800
64,3,15,30,69.74,2092200
54,3,15,30,70.3,2109000
44,3,15,30,70.75,2122500
34,3,15,30,72.58,2177400
24,3,15,30,73.71,2211300
14,3,15,30,67.66,2029800
14,3,15,30,73.66,2209800
54,2,15,30,89.02,2670600
44,2,15,30,85.16,2554800
34,2,15,30,86.96,2608800
24,2,15,30,83.85,2515500
14,2,15,30,79.72,2391600
64,1,15,30,130.78,3923400
54,1,15,30,135.32,4059600
44,1,15,30,132.57,3977100
34,1,15,30,135.8,4074000
24,1,15,30,131.34,3940200
14,1,15,30,132.46,3973800
64,3,14,30,69.12,2073600
54,3,14,30,64.5,1935000
44,3,14,30,68.47,2054100
34,3,14,30,69.44,2083200
24,3,14,30,69.13,2073900
14,3,14,30,70.93,2127900
64,2,14,30,82.9,2487000
54,2,14,30,85.1,2553000
44,2,14,30,81.51,2445300
34,2,14,30,85.11,2553300
24,2,14,30,81.17,2435100
14,2,14,30,82.93,2487900
64,1,14,30,132.39,3971700
54,1,14,30,134.8,4044000
44,1,14,30,132.16,3964800
34,1,14,30,129.83,3894900
